id,modele_machine,annee_fabrication,fiabilite_modele,age_machine_ans,phase_vie,indice_usure,heures_par_jour,temps_total_fonctionnement_h,mode_fonctionnement,cadence_moyenne_unit_h,taux_utilisation_pct,charge_machine,type_maintenance,frequence_maintenance,nombre_maintenances,date_derniere_maintenance,jours_depuis_maintenance,intervalle_entre_maintenances_j,nombre_total_pannes,frequence_pannes_par_an,duree_moyenne_panne_h,nombre_interventions_techniques,nombre_pannes_repetees,type_panne_recurrente,intervalle_entre_pannes_j,cause_identifiee,panne
5829,ROBOT-M3,1995,Faible,28,Ancienne,93.96,10.3,105325,Continu,,66.1,Sous-charge,Corrective,Annuelle,40.0,2023-12-05,27.0,56.0,18,0.64,1.03,22,16,Aucune,25,Non,1
5830,COMP-T2,1996,Elevée,27,Ancienne,91.26,10.9,107379,Continu,84.7,73.6,Sous-charge,Corrective,Mensuelle,53.0,2023-09-26,97.0,40.0,29,1.07,6.38,33,27,Aucune,211,Non,1
5831,PRESS-X5,2018,Moyenne,5,Normale,16.13,12.3,22353,Intermittent,95.0,95.8,Normale,Corrective,Hebdomadaire,7.0,2023-10-26,,65.0,6,1.2,11.44,8,4,Aucune,175,Non,0
5832,CONV-3A,2006,Elevée,17,Ancienne,59.33,12.7,78432,Continu,82.6,79.0,Normale,Préventive,Annuelle,27.0,2023-10-10,83.0,120.0,16,0.94,6.85,17,14,Aucune,94,Oui,0
5833,WELDR-E4,2011,Elevée,12,Normale,45.28,13.3,58128,Continu,81.2,87.9,Normale,Préventive,Mensuelle,23.0,2023-10-19,74.0,103.0,18,1.5,2.73,22,17,Électrique,117,Oui,0
5834,CNC-2000,1996,Moyenne,27,Ancienne,95.87,10.7,105129,Continu,57.9,55.7,Normale,Préventive,Trimestrielle,34.0,2023-10-18,76.0,101.0,20,0.74,-5.0,22,18,Aucune,231,Non,1
5835,COMP-T2,2022,Elevée,1,Nouvelle,9.3,13.6,4880,Continu,83.2,72.6,Surcharge,Préventive,Mensuelle,1.0,2023-09-12,111.0,87.0,0,0.0,,6,0,Thermique,125,Oui,0
5836,COMP-T2,2011,Moyenne,12,Normale,40.44,,58445,Intermittent,,63.0,Normale,Mixte,Hebdomadaire,9.0,2023-12-28,4.0,96.0,7,0.58,0.5,7,7,Mécanique,139,Non,0
5837,ROBOT-M3,2015,Faible,8,Normale,29.29,10.8,31644,Continu,55.5,68.8,Surcharge,Corrective,Trimestrielle,10.0,2023-12-05,27.0,169.0,6,0.75,2.68,6,4,Thermique,168,Oui,0
5838,MOTOR-K1,2001,Elevée,22,Ancienne,78.72,6.8,55310,Intermittent,60.3,65.8,Surcharge,,Hebdomadaire,37.0,2023-10-26,68.0,110.0,14,0.64,0.5,16,11,Thermique,134,Oui,0
5839,PUMP-V7,2000,Faible,23,Ancienne,81.73,9.3,78263,Continu,75.1,90.5,Normale,,Trimestrielle,35.0,2023-12-18,15.0,106.0,20,0.87,0.95,26,18,Mécanique,151,Oui,0
5840,DRILL-Z6,2000,Elevée,23,Ancienne,86.91,16.7,140245,Continu,59.7,83.6,Surcharge,Corrective,Trimestrielle,35.0,2023-12-17,15.0,74.0,22,0.96,1.93,25,19,Électrique,267,Oui,0
5841,DRILL-Z6,2016,Elevée,7,,28.52,6.9,17833,Intermittent,,65.9,Normale,Mixte,Trimestrielle,10.0,2024-01-01,,73.0,3,0.43,0.5,4,0,Électrique,188,Oui,0
5842,DRILL-Z6,2002,Elevée,21,Ancienne,66.9,16.0,122135,Continu,54.1,69.4,Normale,Mixte,Trimestrielle,34.0,2022-08-23,496.0,113.0,16,0.76,1.55,18,14,Thermique,194,Oui,1
5843,DRILL-Z6,1999,Faible,24,Ancienne,83.43,6.8,59241,Continu,90.2,79.4,Normale,Corrective,Mensuelle,37.0,2023-10-17,77.0,73.0,22,0.92,0.5,23,20,Mécanique,221,Oui,1
5844,LATHE-9,2009,Elevée,14,Normale,48.93,9.7,49086,Intermittent,95.1,85.7,Normale,Préventive,Trimestrielle,25.0,2023-11-30,32.0,85.0,9,0.64,1.8,12,9,Mécanique,201,Oui,0
5845,CNC-2000,2020,Faible,3,Nouvelle,21.26,10.9,11465,Continu,89.9,87.5,Surcharge,Mixte,Hebdomadaire,4.0,2023-11-14,49.0,,2,0.67,0.5,5,0,Mécanique,136,Non,0
5846,MOTOR-K1,2001,Faible,22,Ancienne,75.35,17.3,139604,Continu,80.3,82.6,Surcharge,Mixte,Hebdomadaire,26.0,2023-12-03,30.0,84.0,16,0.73,0.58,20,13,Électrique,248,Non,0
5847,PUMP-V7,1997,Elevée,26,,86.09,12.1,114747,Continu,88.0,96.8,Surcharge,Mixte,Trimestrielle,51.0,2023-09-07,116.0,7.0,21,0.81,2.19,24,21,Électrique,206,Oui,1
5848,PUMP-V7,2019,Moyenne,4,Normale,16.19,11.4,16734,Continu,62.7,80.1,Surcharge,Corrective,Trimestrielle,,2023-07-19,167.0,54.0,4,1.0,2.55,5,0,,187,Non,0
5849,ROBOT-M3,2004,Moyenne,19,Ancienne,68.98,9.2,63956,Intermittent,83.9,69.7,Normale,Mixte,Hebdomadaire,28.0,2023-11-09,53.0,127.0,14,0.74,,17,12,Mécanique,281,Non,0
5850,WELDR-E4,1997,Elevée,26,Ancienne,90.63,13.6,128625,Intermittent,70.7,65.2,Normale,Mixte,Annuelle,44.0,2023-09-16,108.0,78.0,18,0.69,3.66,20,17,Aucune,200,Non,1
5851,COMP-T2,2008,Elevée,15,Normale,51.4,,57739,Intermittent,93.4,62.0,Normale,Corrective,Hebdomadaire,20.0,2023-12-12,21.0,118.0,14,0.93,3.12,17,12,Hydraulique,239,Oui,0
5852,COMP-T2,2016,Elevée,7,Normale,29.24,11.3,28972,Intermittent,90.7,60.5,Sous-charge,Mixte,Mensuelle,17.0,2023-12-21,11.0,128.0,2,0.29,2.21,4,0,Mécanique,267,Oui,0
5853,MOTOR-K1,1997,Moyenne,26,Ancienne,86.73,,103663,Continu,67.8,83.1,Normale,Préventive,Mensuelle,44.0,2023-11-07,56.0,42.0,20,0.77,0.73,21,20,Aucune,100,Oui,1
5854,LATHE-9,1995,Moyenne,28,Ancienne,96.3,30.0,306822,Intermittent,85.3,94.1,Normale,Corrective,Hebdomadaire,37.0,2023-04-19,257.0,76.0,25,0.89,3.24,29,22,Thermique,184,Non,1
5855,PRESS-X5,1995,Elevée,28,Ancienne,95.39,14.3,146130,Intermittent,85.9,76.3,Surcharge,Préventive,Annuelle,42.0,2023-06-05,210.0,66.0,21,0.75,0.5,21,19,Électrique,150,Oui,1
5856,CONV-3A,2013,Elevée,10,Normale,40.47,9.3,34317,Continu,72.9,96.9,Normale,Corrective,Mensuelle,18.0,2023-11-18,45.0,71.0,5,0.5,0.5,9,1,Mécanique,208,Oui,0
5857,MOTOR-K1,1998,Faible,25,Ancienne,88.93,10.1,92608,Continu,80.3,75.3,Normale,Mixte,Mensuelle,51.0,2023-10-17,76.0,77.0,29,1.16,6.86,31,28,Thermique,117,Non,1
5858,PRESS-X5,1996,Elevée,27,Ancienne,,9.8,96729,Intermittent,87.7,82.3,Surcharge,Préventive,Mensuelle,38.0,2023-08-21,134.0,57.0,17,0.63,1.34,18,14,Électrique,164,Oui,1
5859,CONV-3A,2019,Moyenne,4,Normale,9.18,12.6,18360,Continu,73.1,56.0,Normale,Mixte,Mensuelle,6.0,2023-09-10,113.0,78.0,4,1.0,8.8,4,2,Thermique,281,Oui,0
5860,PUMP-V7,2005,Elevée,18,Ancienne,72.37,14.7,96529,Intermittent,66.7,84.7,Normale,,Annuelle,25.0,2023-10-30,64.0,118.0,19,1.06,0.99,24,14,Thermique,206,Oui,0
5861,LATHE-9,2018,Faible,5,Normale,22.92,12.6,22651,Continu,83.4,67.4,Surcharge,Corrective,Mensuelle,7.0,2023-08-09,,58.0,4,0.8,0.5,7,2,Thermique,160,Non,0
5862,MOTOR-K1,2100,Faible,0,Nouvelle,4.21,5.4,167,Intermittent,102.3,85.0,Surcharge,Mixte,Trimestrielle,3.0,2023-12-13,19.0,65.0,1,2.0,4.75,3,0,Électrique,89,Oui,0
5863,DRILL-Z6,2007,Elevée,16,Ancienne,56.06,14.3,83582,Continu,,90.4,Normale,Corrective,Trimestrielle,20.0,2023-12-15,18.0,106.0,17,1.06,0.84,22,14,Aucune,130,Non,0
5864,PUMP-V7,2010,Elevée,13,,53.04,8.0,37341,Intermittent,74.7,78.7,Normale,Préventive,Mensuelle,20.0,2023-12-09,23.0,106.0,10,0.77,1.71,11,8,Mécanique,198,Oui,0
5865,PRESS-X5,2010,,13,Normale,39.98,,46615,Intermittent,68.1,80.2,Normale,Corrective,Mensuelle,13.0,2023-08-31,123.0,80.0,16,1.23,4.62,21,14,Hydraulique,80,Oui,0
5866,MOTOR-K1,2013,Elevée,10,Normale,38.76,12.6,45984,Continu,97.3,76.4,Sous-charge,Mixte,Mensuelle,13.0,2023-04-13,263.0,71.0,6,0.6,4.37,8,4,Mécanique,169,Non,0
5867,MOTOR-K1,2017,Elevée,6,Normale,18.78,11.7,25759,Continu,93.1,82.7,Normale,,Mensuelle,,2023-07-14,,26.0,4,,3.05,8,3,Mécanique,177,Non,0
5868,ROBOT-M3,2014,Moyenne,9,Normale,30.26,14.6,48430,Continu,77.8,97.5,Sous-charge,Mixte,Trimestrielle,12.0,2023-08-14,140.0,88.0,6,0.67,1.52,9,5,Électrique,262,Oui,0
5869,CNC-2000,2015,Elevée,8,Normale,31.63,10.2,29564,Continu,68.2,75.1,Surcharge,Mixte,Trimestrielle,9.0,2023-11-08,54.0,70.0,5,0.62,4.21,11,4,Aucune,199,Oui,0
5870,PUMP-V7,2014,Elevée,9,Normale,30.78,9.1,29860,Continu,68.1,77.0,Normale,Préventive,Mensuelle,,2023-11-12,50.0,37.0,3,0.33,12.97,11,2,Mécanique,24,Oui,0
5871,MOTOR-K1,2003,Moyenne,20,Ancienne,,11.1,80905,Continu,67.2,53.7,Surcharge,,Trimestrielle,33.0,2022-04-05,637.0,109.0,19,0.95,0.5,20,16,Aucune,191,Oui,1
5872,COMP-T2,2010,,13,Normale,43.02,14.9,70778,Intermittent,72.6,80.1,Normale,Corrective,Trimestrielle,16.0,2023-11-28,35.0,66.0,15,1.15,1.87,20,15,Mécanique,172,Oui,0
5873,COMP-T2,2021,Elevée,2,Nouvelle,0.0,13.9,10038,Continu,71.6,65.6,Normale,Mixte,Annuelle,2.0,2023-10-16,78.0,70.0,0,0.0,1.01,2,0,Thermique,238,Non,0
5874,CNC-2000,2001,Moyenne,22,Ancienne,80.82,12.3,98342,Continu,68.9,72.6,Normale,Préventive,Annuelle,24.0,2023-11-19,44.0,114.0,20,0.91,2.6,26,20,,282,Oui,0
5875,MOTOR-K1,2007,,16,Ancienne,50.97,16.0,93357,Intermittent,96.7,80.7,Sous-charge,Mixte,Trimestrielle,21.0,2023-11-17,46.0,47.0,18,1.12,10.81,21,17,Aucune,224,Oui,0
5876,DRILL-Z6,1998,Moyenne,25,Ancienne,96.79,15.4,140805,Intermittent,103.8,55.6,Surcharge,Préventive,Annuelle,33.0,2023-11-10,53.0,66.0,25,1.0,0.79,29,24,,144,Non,1
5877,CNC-2000,2007,Elevée,16,Ancienne,54.56,14.4,84031,Continu,63.7,80.6,Sous-charge,Corrective,Annuelle,27.0,2023-08-29,126.0,123.0,15,0.94,6.95,21,13,Mécanique,179,Non,0
5878,CNC-2000,2002,Elevée,21,Ancienne,80.05,8.5,64964,Continu,71.4,78.0,Surcharge,,Hebdomadaire,27.0,2023-08-28,126.0,48.0,20,0.95,,22,19,Électrique,194,Non,0
5879,PRESS-X5,1996,Faible,27,Ancienne,85.45,14.3,140833,Continu,65.8,83.4,Normale,Corrective,Trimestrielle,39.0,2023-12-21,11.0,120.0,23,0.85,0.5,27,22,Électrique,236,Non,1
5880,PRESS-X5,2001,Faible,22,Ancienne,80.66,11.4,91135,Intermittent,84.8,67.3,Sous-charge,Corrective,Trimestrielle,34.0,2023-10-28,66.0,109.0,15,0.68,0.5,22,14,Aucune,138,Oui,0
5881,WELDR-E4,2005,Moyenne,18,Ancienne,67.94,,70955,Intermittent,74.9,88.4,Normale,Corrective,Trimestrielle,30.0,2023-08-22,133.0,,12,0.67,7.98,17,10,Électrique,31,Oui,0
5882,PUMP-V7,2011,,12,Normale,48.52,10.0,43787,Intermittent,64.5,78.7,Sous-charge,Préventive,Annuelle,14.0,2023-12-30,2.0,125.0,8,0.67,2.64,11,4,Hydraulique,179,Non,0
5883,CONV-3A,2018,Moyenne,5,Normale,9.86,11.5,20830,Intermittent,,66.5,Normale,Préventive,Mensuelle,,2023-11-04,58.0,125.0,7,1.4,7.66,9,5,Mécanique,174,Oui,0
5884,CNC-2000,2008,Faible,15,Normale,48.99,10.1,55497,Intermittent,87.3,58.6,Normale,Corrective,Mensuelle,21.0,2023-11-03,59.0,45.0,10,0.67,10.07,12,4,Hydraulique,239,,0
5885,PRESS-X5,2022,Elevée,1,,6.38,12.5,4686,Continu,65.3,68.5,Normale,Préventive,Mensuelle,2.0,2023-08-19,135.0,54.0,1,1.0,2.86,3,0,Thermique,241,Non,0
5886,LATHE-9,2007,Elevée,16,Ancienne,56.74,11.5,67158,Continu,102.6,85.4,Normale,Corrective,Mensuelle,-10.0,2022-07-08,543.0,119.0,16,1.0,,17,14,Électrique,186,Oui,0
5887,WELDR-E4,2009,Moyenne,14,Normale,50.47,12.7,64591,Intermittent,62.8,80.3,Surcharge,Préventive,Mensuelle,23.0,2023-10-26,67.0,94.0,10,0.71,3.42,12,9,Électrique,140,Non,0
5888,MOTOR-K1,2016,Faible,7,Normale,22.7,13.7,34671,Continu,89.2,49.3,Sous-charge,Corrective,Mensuelle,10.0,2023-09-18,106.0,7.0,8,1.14,1.73,10,8,Thermique,217,Oui,0
5889,PUMP-V7,2022,Elevée,1,Nouvelle,11.25,11.1,3795,Continu,116.3,71.0,Sous-charge,Préventive,Trimestrielle,2.0,2022-07-05,,91.0,1,1.0,2.56,5,0,Électrique,224,Oui,0
5890,MOTOR-K1,2015,Moyenne,8,Normale,41.04,9.8,29175,Continu,78.0,76.5,Surcharge,Corrective,Trimestrielle,9.0,2023-10-12,81.0,107.0,9,1.12,1.04,14,7,Aucune,205,Non,0
5891,WELDR-E4,2019,Moyenne,4,Normale,14.52,6.0,8823,Continu,75.7,97.9,Normale,,Hebdomadaire,7.0,2023-12-29,3.0,138.0,3,0.75,1.34,8,3,Thermique,137,Oui,0
5892,ROBOT-M3,2003,Moyenne,20,Ancienne,72.27,14.3,104845,Continu,82.5,90.5,Normale,Corrective,Trimestrielle,31.0,2023-10-02,91.0,,15,0.75,13.19,20,12,Thermique,87,Oui,0
5893,COMP-T2,1997,Moyenne,26,Ancienne,91.28,12.2,115956,Continu,113.4,72.9,Normale,Mixte,Mensuelle,38.0,2023-12-08,25.0,123.0,15,0.58,2.87,18,12,Hydraulique,177,Oui,1
5894,PUMP-V7,2019,Moyenne,4,,20.42,11.5,16998,Intermittent,102.1,77.2,Normale,Préventive,Hebdomadaire,11.0,2023-09-13,111.0,123.0,1,0.25,1.98,2,0,Électrique,272,Non,0
5895,COMP-T2,2007,,16,Ancienne,60.15,15.5,90517,Intermittent,73.3,58.6,Normale,Préventive,Mensuelle,21.0,2023-09-07,117.0,113.0,9,0.56,2.94,15,7,Thermique,187,Oui,0
5896,LATHE-9,2007,Elevée,16,Ancienne,50.67,8.1,47499,Intermittent,84.6,43.5,Sous-charge,Préventive,Trimestrielle,31.0,2023-10-13,80.0,101.0,17,1.06,0.5,19,15,Électrique,183,Non,0
5897,MOTOR-K1,2003,Moyenne,20,Ancienne,66.94,12.2,88774,Continu,93.8,70.2,Normale,Préventive,Trimestrielle,38.0,2023-05-28,218.0,111.0,15,0.75,0.82,19,13,Thermique,123,Non,0
5898,ROBOT-M3,2012,Elevée,11,Normale,33.45,,36392,Continu,73.6,87.0,Surcharge,Corrective,Trimestrielle,13.0,2023-08-25,130.0,115.0,2,0.18,4.11,4,0,,242,Oui,0
5899,LATHE-9,1999,Moyenne,24,Ancienne,97.47,14.0,122187,Continu,63.0,77.2,Normale,Corrective,Annuelle,37.0,2023-06-17,198.0,110.0,20,0.83,1.16,25,18,Hydraulique,160,Non,1
5900,CONV-3A,2005,Moyenne,18,Ancienne,66.18,5.3,34955,Continu,96.3,66.0,Surcharge,Corrective,Hebdomadaire,28.0,2023-09-09,115.0,136.0,17,0.94,4.1,21,17,Électrique,218,Non,0
5901,MOTOR-K1,1996,Elevée,27,Ancienne,91.52,14.4,141913,Continu,87.6,85.9,Sous-charge,Préventive,Annuelle,38.0,2023-10-13,81.0,101.0,23,0.85,1.46,25,21,Mécanique,209,Non,1
5902,WELDR-E4,2011,Moyenne,12,Normale,38.62,14.3,62607,Continu,84.8,96.5,Sous-charge,Corrective,Trimestrielle,23.0,2024-01-01,0.0,61.0,10,0.83,6.04,10,8,Thermique,149,Non,0
5903,ROBOT-M3,2017,Moyenne,6,Normale,25.03,9.2,20048,Continu,96.6,57.1,Normale,Corrective,Annuelle,,2023-11-19,43.0,33.0,2,0.33,0.5,7,2,Mécanique,160,Oui,0
5904,PUMP-V7,2014,,9,Normale,36.02,12.2,40215,Intermittent,62.8,74.4,Sous-charge,Corrective,Mensuelle,5000.0,2023-10-18,76.0,66.0,4,0.44,5.82,5,4,Thermique,241,Oui,0
5905,ROBOT-M3,2015,Moyenne,8,Normale,31.99,9.3,27051,Continu,76.5,68.6,Normale,Corrective,Mensuelle,8.0,2023-11-14,49.0,104.0,6,,0.62,8,3,Électrique,185,Oui,0
5906,MOTOR-K1,1998,Faible,25,Ancienne,85.37,13.3,121533,Continu,119.6,75.5,Normale,,Annuelle,36.0,2023-10-28,66.0,81.0,23,0.92,0.87,30,21,Mécanique,232,Oui,1
5907,PRESS-X5,2016,Elevée,7,Normale,26.03,14.5,36937,Continu,88.5,69.5,Sous-charge,Corrective,Mensuelle,14.0,2023-11-23,40.0,53.0,7,1.0,3.87,10,5,Mécanique,116,Oui,0
5908,LATHE-9,2021,Moyenne,2,Nouvelle,7.55,9.0,6539,Continu,89.4,100.0,Sous-charge,Préventive,Mensuelle,3.0,2023-10-23,71.0,75.0,0,0.0,1.79,3,0,Électrique,223,Oui,0
5909,ROBOT-M3,2012,Elevée,11,Normale,33.82,8.1,32881,Continu,81.6,73.6,Normale,Préventive,Trimestrielle,5000.0,2023-10-31,63.0,75.0,9,0.82,6.2,11,5,Électrique,231,Oui,0
5910,COMP-T2,2018,Elevée,5,Normale,12.87,15.3,27804,Continu,52.4,78.6,Normale,,Trimestrielle,5.0,2023-12-07,26.0,130.0,4,0.8,9.08,6,3,Hydraulique,213,Oui,0
5911,LATHE-9,2014,Elevée,9,Normale,999.0,17.8,58469,Intermittent,67.7,77.0,Surcharge,Corrective,Trimestrielle,14.0,2023-11-23,40.0,83.0,10,1.11,4.79,17,9,Hydraulique,185,Non,0
5912,COMP-T2,2002,Moyenne,21,Ancienne,74.48,13.5,103210,Intermittent,93.7,60.0,Surcharge,Mixte,Hebdomadaire,25.0,2023-11-29,34.0,111.0,17,0.81,5.5,21,15,Aucune,149,Non,0
5913,ROBOT-M3,2013,Elevée,10,Normale,37.77,13.7,50065,Continu,71.9,77.4,Normale,Corrective,Trimestrielle,,2023-08-02,153.0,40.0,8,0.8,0.5,11,7,Mécanique,164,Oui,0
5914,PRESS-X5,2006,Elevée,17,,63.46,11.0,68132,Intermittent,77.5,57.3,Sous-charge,Préventive,Trimestrielle,42.0,2023-12-23,9.0,104.0,14,0.82,5.85,17,14,Thermique,166,Oui,0
5915,LATHE-9,2022,,1,Nouvelle,11.0,12.5,4732,Continu,84.4,96.6,Surcharge,Corrective,Hebdomadaire,2.0,2023-12-21,12.0,74.0,0,0.0,1.44,4,0,Électrique,243,Oui,0
5916,WELDR-E4,2005,Elevée,18,Ancienne,59.12,13.1,85743,Intermittent,65.3,,Normale,Corrective,Trimestrielle,38.0,2023-08-06,148.0,83.0,12,0.67,1.45,18,9,Électrique,179,Oui,0
5917,LATHE-9,2010,Elevée,13,,48.65,11.5,54509,Intermittent,60.8,68.1,Normale,Corrective,Hebdomadaire,12.0,2023-11-18,45.0,105.0,14,1.08,2.48,16,12,Aucune,181,Non,0
5918,PUMP-V7,1999,Elevée,24,Ancienne,87.75,16.0,140740,Intermittent,79.8,73.0,Normale,Corrective,Hebdomadaire,43.0,2023-11-24,38.0,103.0,12,0.5,0.5,13,10,Hydraulique,222,Non,0
5919,ROBOT-M3,2022,Elevée,1,Nouvelle,1.94,12.5,4471,Intermittent,74.4,87.3,Surcharge,Mixte,Trimestrielle,0.0,2023-10-29,64.0,63.0,0,0.0,5.63,1,0,Aucune,217,Oui,0
5920,CONV-3A,1997,Moyenne,26,Ancienne,91.61,12.9,122433,Intermittent,83.4,78.3,Surcharge,Corrective,Annuelle,37.0,2023-11-21,41.0,74.0,19,0.73,3.11,20,15,,89,Oui,1
5921,MOTOR-K1,2006,Elevée,17,Ancienne,58.07,,71379,Continu,58.5,55.2,Surcharge,,Mensuelle,28.0,2023-12-22,11.0,108.0,14,0.82,2.91,18,12,Hydraulique,232,Oui,0
5922,CNC-2000,2009,Elevée,14,Normale,59.54,11.8,60397,Continu,,77.0,Normale,Préventive,Mensuelle,23.0,2023-12-14,19.0,114.0,13,0.93,0.65,15,9,Thermique,176,Non,0
5923,DRILL-Z6,2010,,13,Normale,,15.7,74355,Continu,90.3,88.0,Normale,Mixte,Trimestrielle,18.0,2023-11-21,42.0,126.0,16,1.23,1.14,18,13,Aucune,199,Oui,0
5924,CONV-3A,2007,Faible,16,Ancienne,,12.4,72725,Continu,124.2,47.0,Sous-charge,Préventive,Trimestrielle,21.0,2023-06-07,209.0,65.0,7,0.44,2.1,9,3,Électrique,130,Oui,0
5925,COMP-T2,2001,Faible,22,Ancienne,75.68,12.5,100432,Continu,81.8,76.7,Normale,Mixte,Annuelle,,2023-11-10,53.0,95.0,17,0.77,1.32,21,17,Mécanique,204,Oui,0
5926,WELDR-E4,2009,Faible,14,Normale,46.6,12.5,63977,Continu,90.1,65.0,Surcharge,Préventive,Hebdomadaire,18.0,2023-07-18,168.0,111.0,12,0.86,1.92,15,10,Thermique,158,Oui,0
5927,WELDR-E4,1997,Moyenne,26,Ancienne,84.49,10.9,103385,Intermittent,87.3,90.2,Normale,Mixte,Trimestrielle,43.0,2023-11-24,39.0,99.0,22,0.85,4.04,25,21,Électrique,208,Oui,1
5928,DRILL-Z6,2006,Moyenne,17,Ancienne,65.0,7.8,48355,Intermittent,84.4,69.6,Normale,Préventive,Mensuelle,26.0,2023-10-18,76.0,102.0,10,0.59,2.55,15,8,Thermique,59,Oui,0
5929,PRESS-X5,2002,Moyenne,21,Ancienne,77.34,16.7,128011,Intermittent,90.2,68.3,Normale,Mixte,Annuelle,,2023-12-14,18.0,110.0,17,,11.16,19,15,Mécanique,114,Non,0
5930,PUMP-V7,2019,Moyenne,4,Normale,,15.2,22311,Continu,65.6,84.9,Normale,Préventive,Trimestrielle,8.0,2023-12-16,16.0,93.0,5,1.25,5.36,10,3,Thermique,194,Oui,0
5931,MOTOR-K1,2006,Moyenne,17,Ancienne,55.0,15.7,97830,Continu,74.6,64.2,Normale,Corrective,Mensuelle,18.0,2023-11-17,46.0,88.0,16,0.94,6.44,18,13,Mécanique,143,Non,0
5932,CONV-3A,2012,Elevée,11,Normale,39.4,8.8,35568,Intermittent,83.7,76.0,Normale,Préventive,Hebdomadaire,12.0,2023-08-15,139.0,115.0,12,1.09,0.5,15,10,Mécanique,87,Oui,0
5933,CNC-2000,1997,Faible,26,,88.51,16.3,154921,Intermittent,65.5,78.4,Normale,Corrective,Trimestrielle,35.0,2023-10-29,64.0,167.0,28,1.08,1.47,31,27,Électrique,161,Non,1
5934,LATHE-9,2006,Moyenne,17,Ancienne,58.39,17.9,111008,Continu,86.5,72.7,Normale,Mixte,Mensuelle,,2023-11-30,33.0,46.0,9,0.53,3.8,12,8,Mécanique,198,Oui,0
5935,DRILL-Z6,2017,Faible,6,Normale,14.68,15.1,32682,Intermittent,51.3,59.4,Sous-charge,Préventive,Trimestrielle,4.0,2023-11-02,60.0,81.0,5,0.83,2.77,10,0,Mécanique,237,Oui,0
5936,PRESS-X5,2015,Elevée,8,Normale,29.09,16.9,49286,Continu,92.2,64.5,Normale,Corrective,Trimestrielle,11.0,2023-11-21,42.0,121.0,3,0.38,0.75,7,2,Thermique,92,Oui,0
5937,WELDR-E4,2020,Elevée,3,Nouvelle,,14.4,15570,Intermittent,77.7,73.4,Normale,Préventive,Trimestrielle,6.0,2024-01-01,0.0,94.0,4,1.33,3.74,7,2,Électrique,270,Non,0
5938,CNC-2000,2017,Elevée,6,Normale,26.47,9.5,20819,Continu,90.4,52.3,Surcharge,Corrective,Mensuelle,7.0,2023-12-18,14.0,34.0,6,1.0,0.5,6,4,,133,Non,0
5939,WELDR-E4,1996,,27,Ancienne,93.75,13.5,133630,Intermittent,95.0,189.8,Normale,Corrective,Mensuelle,43.0,2023-12-26,6.0,124.0,22,0.81,0.5,22,21,Thermique,277,Oui,1
5940,ROBOT-M3,2008,Elevée,15,Normale,50.83,8.9,49057,Intermittent,101.1,71.8,Surcharge,Corrective,Mensuelle,,2023-11-12,50.0,76.0,8,0.53,10.94,11,4,Aucune,227,Oui,0
5941,DRILL-Z6,2008,Elevée,15,Normale,44.72,10.2,56086,Continu,84.0,163.8,Normale,Mixte,Trimestrielle,19.0,2023-11-08,54.0,88.0,14,0.93,4.27,15,11,Thermique,69,,0
5942,PRESS-X5,1998,Elevée,25,Ancienne,93.0,12.9,118016,Continu,54.0,82.8,Normale,Préventive,Mensuelle,33.0,2023-12-17,16.0,91.0,21,0.84,4.26,24,19,Électrique,159,Oui,1
5943,LATHE-9,2011,Elevée,12,Normale,46.46,12.5,54712,Intermittent,53.6,61.5,Normale,Corrective,Annuelle,20.0,2023-12-01,31.0,90.0,10,0.83,4.52,12,6,Thermique,11,Oui,0
5944,COMP-T2,2009,Moyenne,14,Normale,49.14,13.4,68371,Continu,61.0,68.8,Surcharge,Préventive,Mensuelle,19.0,2023-01-21,346.0,70.0,6,0.43,3.61,12,6,Électrique,185,Non,0
5945,PRESS-X5,2010,Faible,13,Normale,38.85,6.6,31305,Continu,90.8,63.9,Normale,Préventive,Annuelle,14.0,2023-12-31,1.0,108.0,12,0.92,4.45,13,11,Thermique,233,Oui,0
5946,MOTOR-K1,1999,Elevée,24,Ancienne,77.93,11.5,100894,Continu,58.9,68.7,Normale,Préventive,Hebdomadaire,28.0,2023-11-17,46.0,106.0,15,0.62,0.5,16,13,Électrique,150,Oui,0
5947,LATHE-9,2018,Moyenne,5,Normale,14.76,13.6,24949,Intermittent,76.5,72.0,Normale,Mixte,Mensuelle,4.0,2023-05-29,217.0,101.0,4,0.8,3.42,5,0,Électrique,254,Non,0
5948,CONV-3A,2011,Elevée,12,Normale,46.83,14.2,62156,Continu,73.7,88.4,Sous-charge,Préventive,Trimestrielle,9.0,2023-10-16,78.0,97.0,6,0.5,7.0,8,4,Mécanique,271,Non,0
5949,PRESS-X5,2017,Elevée,6,Normale,22.45,14.4,31792,Intermittent,85.4,67.8,Normale,Préventive,Mensuelle,10.0,2023-12-12,,79.0,2,0.33,0.73,3,0,Thermique,189,Oui,0
5950,LATHE-9,2001,Moyenne,22,Ancienne,69.53,12.8,102333,Continu,90.7,85.6,Sous-charge,Corrective,Trimestrielle,,2023-04-30,247.0,77.0,17,0.77,2.47,22,15,Thermique,200,Oui,1
5951,CONV-3A,2017,Moyenne,6,Normale,23.02,,23779,Continu,81.4,78.1,Normale,Préventive,Trimestrielle,9.0,2023-10-30,64.0,22.0,3,0.5,0.98,5,3,Mécanique,198,Oui,0
